title,sell_price,orig_price,rating,num_ratings
LG 260 L Frost Free Double Door 2 Star Refrigerator,"₹23,000","₹25,990",4.2,94 Ratings & 7 Reviews
LG 423 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator,"₹50,000","₹66,999",,
LG 674 L Frost Free Side by Side Refrigerator  with Smart Inverter Compressor ThinQ (Wi-Fi)� | DoorCoo...,"₹1,14,990","₹1,51,799",4.8,8 Ratings & 0 Reviews
LG 360 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹43,990","₹50,390",4.5,299 Ratings & 45 Reviews
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator,"₹16,690","₹20,990",4.4,"2,960 Ratings & 325 Reviews"
,,,,
,,,,
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator,"₹15,690","₹18,990",4.4,"1,748 Ratings & 197 Reviews"
SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹27,990","₹31,990",4.2,89 Ratings & 8 Reviews
LG 423 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹51,000","₹67,999",,
LG 260 L Frost Free Double Door Top Mount 2 Star Refrigerator,"₹24,490","₹28,790",4.4,57 Ratings & 6 Reviews
CANDY 190 L Direct Cool Single Door 2 Star Refrigerator,"₹10,490","₹13,500",4.3,"3,340 Ratings & 496 Reviews"
Godrej 185 L Direct Cool Single Door 2 Star Refrigerator,"₹12,190","₹17,300",4.3,"2,758 Ratings & 282 Reviews"
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator  with Intellisense Inverter Compressor,"₹14,990","₹20,850",4.4,"3,465 Ratings & 412 Reviews"
SAMSUNG 700 L Frost Free Side by Side Refrigerator,"₹81,990","₹89,590",4.4,"1,056 Ratings & 103 Reviews"
Godrej 244 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹22,490","₹29,700",4.3,591 Ratings & 55 Reviews
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹16,390","₹21,199",3.7,3 Ratings & 0 Reviews
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹16,990","₹21,990",4.3,3 Ratings & 0 Reviews
LG 340 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹37,990","₹52,499",4.5,12 Ratings & 5 Reviews
realme TechLife 308 L Frost Free Double Door 2 Star Refrigerator,"₹24,990","₹35,690",4.3,469 Ratings & 81 Reviews
LG 413 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹46,990","₹67,499",,
SAMSUNG 198 L Direct Cool Single Door 3 Star Refrigerator  with Digi Touch Cool,"₹15,890","₹19,990",4.4,581 Ratings & 57 Reviews
LG 408 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator,"₹46,999","₹63,330",3.9,18 Ratings & 2 Reviews
LG 190 L Direct Cool Single Door 1 Star Refrigerator,"₹14,349","₹20,990",,
Whirlpool 245 L Frost Free Double Door 2 Star Refrigerator,"₹22,990","₹29,350",4.3,"5,221 Ratings & 565 Reviews"
LG 190 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹16,119","₹22,299",,
Whirlpool 340 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹31,990","₹45,250",4.1,98 Ratings & 8 Reviews
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹13,800","₹15,990",4.3,3 Ratings & 0 Reviews
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹16,799","₹22,299",5,3 Ratings & 1 Reviews
Haier 346 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹44,490","₹71,300",,
Haier 376 L Frost Free Double Door Bottom Mount 3 Star Refrigerator,"₹37,990","₹65,100",4.4,9 Ratings & 0 Reviews
,,,,
,,,,
Haier 376 L Frost Free Double Door Bottom Mount 3 Star Refrigerator,"₹37,990","₹65,100",4.4,9 Ratings & 0 Reviews
Whirlpool 200 L Direct Cool Single Door 3 Star Refrigerator,"₹14,990","₹17,400",4.2,139 Ratings & 13 Reviews
Whirlpool 200 L Direct Cool Single Door 3 Star Refrigerator,"₹15,490","₹18,100",4.3,66 Ratings & 5 Reviews
